URL,Company Name,Sector,LTP,P/E Ratio,Market Cap,Enterprise Value,No. of Shares,P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth
https://ticker.finology.in/company/SURANAT&P,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found
https://ticker.finology.in/company/PRAKASHSTL,Prakash Steelage Ltd.,Steel & Iron Products,8.11,N/A,8.48,8.08,16.63,17.57,1,"0
                                %",0.46,0.8 Cr.,0.14 Cr.,33.55 %,2.08,11.37
https://ticker.finology.in/company/SUBROS,Subros Ltd.,Auto Ancillary,643.40,N/A,655.3,631,825,4.14,2,"0.28
                                %",155.53,122.35 Cr.,29.72 Cr.,36.79 %,19.75,9.42
https://ticker.finology.in/company/CENTUM,Centum Electronics Ltd.,Electronics - Components,2138.20,N/A,2266.2,2115.35,2400,8.51,10,"0.28
                                %",251.16,36.41 Cr.,101.49 Cr.,58.75 %,26.09,26.42
https://ticker.finology.in/company/DENORA,De Nora India Ltd.,Electrodes & Welding Equipment,1191.10,N/A,1233.6,1191.1,2022.25,5.07,10,"0.17
                                %",235.01,7.94 Cr.,0 Cr.,53.68 %,34.47,0.29
https://ticker.finology.in/company/HITECHCORP,Hitech Corporation Ltd.,Plastic Products,228.00,N/A,233.2,226.95,350.5,1.46,10,"0.44
                                %",156.45,0.82 Cr.,71 Cr.,74.43 %,9.4,0.56
https://ticker.finology.in/company/FINPIPE,Finolex Industries Ltd.,Plastic Products,255.95,N/A,266.35,237.65,355.7,2.37,2,"0.98
                                %",108.08,31.65 Cr.,381.95 Cr.,52.47 %,13.01,-1.81
https://ticker.finology.in/company/IEL,Indiabulls Enterprises Ltd.,Miscellaneous,20.00,N/A,20.35,19.96,24.64,0.8,2,"0
                                %",24.88,6.67 Cr.,131.94 Cr.,60.97 %,-1.34,-37.02
https://ticker.finology.in/company/JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals & Drugs,1815.00,N/A,1845.75,1791.95,2029,8.94,1,"0.67
                                %",202.98,63.7 Cr.,341.8 Cr.,53.74 %,38.58,14.37
https://ticker.finology.in/company/SUVENPHAR,Suven Pharmaceuticals Ltd.,Pharmaceuticals & Drugs,1165.15,N/A,1172.9,1136.7,1359,13.44,1,"0
                                %",86.66,21.58 Cr.,38.58 Cr.,50.1 %,9.71,-22.94
https://ticker.finology.in/company/LAOPALA,La Opala RG Ltd.,Glass,320.85,N/A,322.85,318.3,386.45,4.36,2,"3.12
                                %",73.56,0.59 Cr.,8.74 Cr.,65.64 %,10.41,-19.28
https://ticker.finology.in/company/SONATSOFTW,Sonata Software Ltd.,IT - Software,600.00,N/A,617.95,585.05,867.1,21.58,1,"1.32
                                %",27.8,87.37 Cr.,0.04 Cr.,28.17 %,13.42,3.2
https://ticker.finology.in/company/DEVYANI,Devyani International Ltd.,Consumer Food,193.00,N/A,194.9,183.2,222.75,20.94,1,"0
                                %",9.22,24.17 Cr.,366.18 Cr.,62.72 %,-0.45,12.33
https://ticker.finology.in/company/DYNPRO,Dynemic Products Ltd.,Dyes & Pigments,420.00,N/A,420,402.55,491.95,2.43,10,"0
                                %",173.15,1.72 Cr.,114.53 Cr.,29.42 %,10.44,-3.94
https://ticker.finology.in/company/BIRLACABLE,Birla Cable Ltd.,Cable,210.45,N/A,215.15,209,340,2.4,10,"0.83
                                %",87.74,3.28 Cr.,165.3 Cr.,66.35 %,2.41,-13.47
https://ticker.finology.in/company/ALBERTDAVD,Albert David Ltd.,Pharmaceuticals & Drugs,1338.40,N/A,1339.8,1307.6,1752.95,1.85,10,"0.86
                                %",724.06,31.16 Cr.,2.72 Cr.,62.13 %,120.1,6.12
https://ticker.finology.in/company/AUTOIND,Autoline Industries Ltd.,Auto Ancillary,108.45,N/A,110.3,107.55,165.2,3.17,10,"0
                                %",34.24,16.4 Cr.,191.55 Cr.,33.39 %,5.9,0.64
https://ticker.finology.in/company/ARVSMART,Arvind Smartspaces Ltd.,Construction - Real Estate,881.50,N/A,893.7,869.05,1024.35,7.11,10,"0.4
                                %",123.97,39.04 Cr.,61.91 Cr.,50.17 %,6.09,28.57
https://ticker.finology.in/company/AARVI,Aarvi Encon Ltd.,Professional Services,135.17,N/A,138.51,133.35,184.25,1.91,10,"1.48
                                %",70.73,13.09 Cr.,9.75 Cr.,73.58 %,6.13,-1.32
https://ticker.finology.in/company/AJOONI,Ajooni Biotech Ltd.,Animal Feed,7.05,N/A,7.25,7.01,10.34,1.41,2,"0
                                %",5,0.43 Cr.,2.17 Cr.,26.89 %,0.14,7.55
https://ticker.finology.in/company/PARAS,Paras Defence And Space Technologies Ltd.,Defence,1017.25,N/A,1037.45,990.3,1592.75,7.18,10,"0
                                %",141.74,8.7 Cr.,33.89 Cr.,58.94 %,12.26,8.47
https://ticker.finology.in/company/BIKAJI,Bikaji Foods International Ltd.,Consumer Food,764.60,N/A,773,761.55,1005,14.32,1,"0.13
                                %",53.41,175.46 Cr.,90.96 Cr.,74.98 %,11.89,18.02
https://ticker.finology.in/company/GANDHITUBE,Gandhi Special Tubes Ltd.,Steel & Iron Products,813.10,N/A,829.85,774.9,935,4.14,5,"1.6
                                %",196.17,2.96 Cr.,0 Cr.,73.53 %,47.83,2.04
https://ticker.finology.in/company/DIAMONDYD,Prataap Snacks Ltd.,Consumer Food,1120.55,N/A,1155.25,1105.55,1450,3.59,5,"0.18
                                %",311.78,30.6 Cr.,20 Cr.,59.53 %,16.24,-2.12
