URL,Company Name,Sector,LTP,P/E Ratio,Market Cap (Cr),Enterprise Value (Cr),No. of Shares (Cr),P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth (%)
https://ticker.finology.in/company/DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Ltd.,Fertilizers,1278.80,N/A,1289.1,1256.45,1405,5,10,"0.66
                                %",255.73,41.72 Cr.,328.64 Cr.,45.63 %,25.77,-18.18
https://ticker.finology.in/company/HARDWYN,Hardwyn India Ltd.,Aluminium & Aluminium Products,33.94,N/A,35.7,33.9,51.77,3.06,1,"0
                                %",11.1,1.46 Cr.,4.56 Cr.,43.77 %,0.36,47.91
https://ticker.finology.in/company/SHEMAROO,Shemaroo Entertainment Ltd.,"Film Production, Distribution & Entertainment",158.00,N/A,162.1,157.85,239.8,0.84,10,"0
                                %",187.46,0.06 Cr.,338.1 Cr.,65.61 %,-32.79,26.53
https://ticker.finology.in/company/PTC,PTC India Ltd.,Power Generation/Distribution,161.35,N/A,169.2,158.1,254.65,1.15,10,"4.83
                                %",139.86,688.2 Cr.,401.53 Cr.,16.22 %,12.45,7.52
https://ticker.finology.in/company/HLVLTD,HLV Ltd.,"Hotel, Resort & Restaurants",16.93,N/A,17.12,16.58,41.99,2.49,2,"0
                                %",6.81,114.04 Cr.,11.59 Cr.,41.99 %,0.38,15.16
https://ticker.finology.in/company/MUTHOOTCAP,Muthoot Capital Services Ltd.,Finance - NBFC,327.55,N/A,340.55,323.1,424.95,0.84,10,"0
                                %",388.77,398.4 Cr.,122.66 Cr.,62.62 %,29.47,-9.99
https://ticker.finology.in/company/UNIINFO,Uniinfo Telecom Services Ltd.,Telecommunication - Equipment,31.53,N/A,32.74,31.21,56.95,1.04,10,"0
                                %",30.21,1.74 Cr.,6.57 Cr.,50.91 %,-2.23,-13.22
https://ticker.finology.in/company/GODHA,Godha Cabcon & Insulation Ltd.,Engineering - Industrial Equipments,1.02,N/A,1.03,0.94,1.19,0.99,1,"0
                                %",1.03,1.56 Cr.,2.63 Cr.,0 %,0.02,-90.03
https://ticker.finology.in/company/ADANIENSOL,Adani Energy Solutions Ltd.,Power Generation/Distribution,697.70,N/A,719.4,697.7,1347.9,4.33,10,"0
                                %",161.18,661.08 Cr.,5164.68 Cr.,69.94 %,3.7,120.55
https://ticker.finology.in/company/DOLPHIN,Dolphin Offshore Enterprises (India) Ltd.,Oil Exploration,532.00,N/A,537.55,515.05,948.75,14.17,1,"0
                                %",37.56,0.07 Cr.,0 Cr.,74.99 %,0.76,0
https://ticker.finology.in/company/EQUITASBNK,Equitas Small Finance Bank Ltd.,Bank - Private,63.69,N/A,65.94,63.5,116.5,1.22,10,"1.57
                                %",52.22,3079.76 Cr.,64.49,0 %,3.94,N/A
https://ticker.finology.in/company/IIFL,IIFL Finance Ltd.,Finance - Investment,408.10,N/A,415,404.45,653.67,2.69,2,"0.98
                                %",151.44,4604.43 Cr.,584.78 Cr.,24.91 %,-3.94,13.45
https://ticker.finology.in/company/RAIN,Rain Industries Ltd.,Petrochemicals,146.90,N/A,149.95,145,219.65,5.23,2,"0.68
                                %",28.11,106.1 Cr.,220 Cr.,41.14 %,0.54,129.59
https://ticker.finology.in/company/TIMETECHNO,Time Technoplast Ltd.,Plastic Products,370.40,N/A,378.6,355.55,473.7,4.65,1,"0.54
                                %",79.72,35.5 Cr.,700.09 Cr.,51.56 %,8.18,17.42
https://ticker.finology.in/company/PNBHOUSING,PNB Housing Finance Ltd.,Finance - Housing,864.40,N/A,869.65,850.45,1201.45,1.42,10,"0
                                %",609.36,7013.74 Cr.,1527.42 Cr.,28.11 %,65.45,8.06
https://ticker.finology.in/company/JIOFIN,JIO Financial Services Ltd.,Finance - NBFC,314.10,N/A,318.65,313.05,394.7,8.04,10,"0
                                %",39.06,638.06 Cr.,382.47 Cr.,47.12 %,0.83,1432.69
https://ticker.finology.in/company/SITINET,Siti Networks Ltd.,TV Broadcasting & Software Production,0.89,N/A,0.91,0.89,1.14,0,1,"0
                                %",-12.61,70.83 Cr.,882.58 Cr.,6.1 %,-1.73,-13.55
https://ticker.finology.in/company/DBSTOCKBRO,DB (International) Stock Brokers Ltd.,Finance - Stock Broking,43.79,N/A,44.01,42.75,67.92,2.29,2,"0
                                %",19.08,47.26 Cr.,8.64 Cr.,36.18 %,2.31,70.38
https://ticker.finology.in/company/ARE&M,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found
https://ticker.finology.in/company/GENCON,Generic Engineering Construction And Projects Ltd.,Engineering - Construction,39.10,N/A,41.4,37.99,71,0.82,5,"0.13
                                %",47.6,14.14 Cr.,62.28 Cr.,40.3 %,1.96,4.67
https://ticker.finology.in/company/NSLNISP,NMDC Steel Ltd.,Steel & Iron Products,44.77,N/A,45.1,43.9,73.67,0.91,10,"0
                                %",48.95,721.32 Cr.,6651.77 Cr.,60.79 %,-8.78,0
https://ticker.finology.in/company/QUESS,Quess Corp Ltd.,BPO/ITeS,640.45,N/A,657.4,629.1,875,3.36,10,"1.56
                                %",190.89,300.22 Cr.,308.02 Cr.,56.59 %,29.77,14.18
https://ticker.finology.in/company/EMBDL,Equinox India Developments Ltd.,Construction - Real Estate,117.95,N/A,120.5,116.6,164.4,1.49,2,"0
                                %",79.21,18.82 Cr.,312.74 Cr.,0 %,-56.52,1409.71
https://ticker.finology.in/company/FIBERWEB,Fiberweb (India) Ltd.,Textile,48.06,N/A,49,47.95,66.24,0.82,10,"0
                                %",58.28,3.69 Cr.,6.87 Cr.,46.33 %,4,30.07
https://ticker.finology.in/company/RPPINFRA,R.P.P. Infra Projects Ltd.,Construction - Real Estate,165.25,N/A,170.3,164,235.45,1.68,10,"0
                                %",98.18,37.38 Cr.,79.43 Cr.,50.88 %,14.68,28.91
https://ticker.finology.in/company/SDBL,Som Distilleries Breweries & Wineries Ltd.,Breweries & Distilleries,102.00,N/A,108.95,101.55,148.75,3.66,2,"0
                                %",27.85,7.95 Cr.,54.43 Cr.,35.33 %,2.76,51.89
https://ticker.finology.in/company/AXITA,Axita Cotton Ltd.,Textile,12.42,N/A,13.1,12.4,26.54,5.62,1,"1.61
                                %",2.21,5.77 Cr.,19.72 Cr.,41.93 %,0.35,101.08
https://ticker.finology.in/company/ANGELONE,Angel One Ltd.,Finance - Stock Broking,2718.30,N/A,2737.4,2628,3900.35,4.66,10,"1.28
                                %",582.96,4246.65 Cr.,1133.07 Cr.,35.61 %,148.98,42.31
https://ticker.finology.in/company/TNPETRO,Tamilnadu Petroproducts Ltd.,Petrochemicals,77.00,N/A,78.31,76,113.85,0.87,10,"1.56
                                %",88.68,259.61 Cr.,3.33 Cr.,34.54 %,3.29,-22.4
https://ticker.finology.in/company/KANANIIND,Kanani Industries Ltd.,Diamond  &  Jewellery,2.67,N/A,2.7,2.62,7.45,1.18,1,"0
                                %",2.26,0.01 Cr.,5.95 Cr.,32.55 %,-0.01,-41.83
https://ticker.finology.in/company/BALAJITELE,Balaji Telefilms Ltd.,"Film Production, Distribution & Entertainment",63.45,N/A,66,62.35,143.63,0.54,2,"0
                                %",118.37,37.21 Cr.,76.42 Cr.,34.21 %,3.25,11.92
https://ticker.finology.in/company/AURIONPRO,Aurionpro Solutions Ltd.,IT - Software,1580.90,N/A,1590,1516.55,1989.95,8.78,10,"0.16
                                %",180.15,216.15 Cr.,62.95 Cr.,26.88 %,9.92,38.66
https://ticker.finology.in/company/SHILPAMED,Shilpa Medicare Ltd.,Pharmaceuticals & Drugs,935.80,N/A,944,864.55,959.95,3.4,1,"0
                                %",275.24,3.13 Cr.,142.55 Cr.,44.33 %,7.29,25.06
https://ticker.finology.in/company/IRBINVIT,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found
https://ticker.finology.in/company/APEX,Apex Frozen Foods Ltd.,Aquaculture,235.50,N/A,240.05,230.55,324.25,1.49,10,"0.85
                                %",157.74,9.86 Cr.,106.89 Cr.,72.62 %,1.52,-24.87
https://ticker.finology.in/company/AFFORDABLE,Affordable Robotic & Automation Ltd.,Engineering,635.35,N/A,656.4,631.45,845.8,6.77,10,"0
                                %",93.84,3.22 Cr.,46.22 Cr.,55.65 %,5.4,32.62
https://ticker.finology.in/company/KUANTUM,Kuantum Papers Ltd.,Paper & Paper Products,124.05,N/A,132,123.7,193,0.93,1,"2.42
                                %",133.59,77.93 Cr.,512.5 Cr.,70.3 %,16.52,-7.5
https://ticker.finology.in/company/DELTACORP,Delta Corp Ltd.,Miscellaneous,111.80,N/A,115.95,111.5,159.75,1.18,1,"1.12
                                %",94.68,40.5 Cr.,0 Cr.,33.26 %,7.92,7
https://ticker.finology.in/company/VPRPL,Vishnu Prakash R Punglia Ltd.,Engineering - Construction,265.25,N/A,273,264,335.7,4.35,10,"0
                                %",60.93,90.7 Cr.,395.52 Cr.,67.81 %,9.87,26.14
https://ticker.finology.in/company/CCCL,Consolidated Construction Consortium Ltd.,Engineering - Construction,15.99,N/A,16.48,15.51,28.68,7.25,2,"0
                                %",2.21,12.48 Cr.,36.89 Cr.,62.39 %,18.04,-5.49
https://ticker.finology.in/company/GULFOILLUB,Gulf Oil Lubricants India Ltd.,Lubricants,1036.40,N/A,1078.35,1030.95,1510,3.72,2,"3.47
                                %",278.57,706.3 Cr.,329.31 Cr.,67.22 %,68.77,9.5
https://ticker.finology.in/company/ORBTEXP,Orbit Exports Ltd.,Textile,171.40,N/A,173.25,170.7,209.55,1.9,10,"0
                                %",90.05,12.91 Cr.,17.5 Cr.,66.16 %,12.9,0.62
https://ticker.finology.in/company/INDTERRAIN,Indian Terrain Fashions Ltd.,Textile,47.90,N/A,50,47.01,85.65,1.29,2,"0
                                %",37.12,28.84 Cr.,93.82 Cr.,34.24 %,-8.95,-8.94
https://ticker.finology.in/company/MANAKALUCO,Manaksia Aluminium Company Ltd.,Aluminium & Aluminium Products,25.20,N/A,26.08,25.1,45.55,1.25,1,"0.28
                                %",20.1,11.93 Cr.,172.23 Cr.,72.86 %,0.79,-10.46
https://ticker.finology.in/company/IRFC,Indian Railway Finance Corporation Ltd.,Finance Term Lending,141.60,N/A,145.45,140.75,229.05,3.6,10,"1.03
                                %",39.38,26644.58 Cr.,6412.55 Cr.,86.36 %,4.98,12.32
https://ticker.finology.in/company/EXCELINDUS,Excel Industries Ltd.,Pesticides & Agrochemicals,1505.95,N/A,1565.95,1488.85,1745,1.52,5,"0.37
                                %",990.71,11.82 Cr.,0 Cr.,52.57 %,60.35,-24.19
https://ticker.finology.in/company/TARMAT,Tarmat Ltd.,Engineering - Construction,76.34,N/A,77.56,75.23,152.89,1.18,10,"0
                                %",64.79,5.71 Cr.,10.47 Cr.,33.24 %,-0.53,-44.76
https://ticker.finology.in/company/3MINDIA,3M India Ltd.,Diversified,31344.40,N/A,31780,30885.8,41000,21.2,10,"2.19
                                %",1478.47,1118.07 Cr.,0 Cr.,75 %,502.5,5.18
https://ticker.finology.in/company/PARADEEP,Paradeep Phosphates Ltd.,Fertilizers,107.00,N/A,108.25,104.55,119.5,2.32,10,"0.47
                                %",46.12,118.02 Cr.,3994.38 Cr.,56.08 %,4.45,-13.23
https://ticker.finology.in/company/HTMEDIA,HT Media Ltd.,Printing And Publishing,22.60,N/A,23.74,22.53,36.85,0.75,2,"0
                                %",30.27,51.33 Cr.,703.46 Cr.,69.51 %,-2.35,-1.53
https://ticker.finology.in/company/GMRP&UI,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found
https://ticker.finology.in/company/PHOENIXLTD,The Phoenix Mills Ltd.,Construction - Real Estate,1532.30,N/A,1541,1462.55,2068.15,10.51,2,"0.33
                                %",145.74,3.1 Cr.,719.91 Cr.,47.27 %,9.31,-2.27
https://ticker.finology.in/company/HUHTAMAKI,Huhtamaki India Ltd.,Plastic Products,262.10,N/A,274.95,261.25,451.5,1.66,2,"1.91
                                %",157.43,312.04 Cr.,200 Cr.,67.73 %,53.45,-14.53
https://ticker.finology.in/company/ARIHANTCAP,Arihant Capital Markets Ltd.,Finance - Stock Broking,96.80,N/A,100.85,96.65,124.9,2.99,1,"0.51
                                %",32.35,228.94 Cr.,65.84 Cr.,69.81 %,7.34,73.07
https://ticker.finology.in/company/HUBTOWN,Hubtown Ltd.,Construction - Real Estate,269.40,N/A,279.9,268.05,342.15,1.4,10,"0
                                %",192.52,41.37 Cr.,393.7 Cr.,28.81 %,2.51,-3.86
https://ticker.finology.in/company/RML,Rane (Madras) Ltd.,Auto Ancillary,787.00,N/A,843.9,787,1525.75,4.73,10,"0
                                %",166.51,19.39 Cr.,700.7 Cr.,72.65 %,9.27,0.88
https://ticker.finology.in/company/SUNDRMFAST,Sundram Fasteners Ltd.,Fasteners,1173.70,N/A,1176.6,1156.85,1504.1,7.12,1,"0.58
                                %",164.9,15.36 Cr.,376.04 Cr.,46.95 %,24.32,-0.32
https://ticker.finology.in/company/INDBANK,Indbank Merchant Banking Services Ltd.,Finance - Stock Broking,41.70,N/A,43.79,41.18,60.7,2.07,10,"0
                                %",20.16,24.92 Cr.,9 Cr.,64.84 %,2.31,36.37
https://ticker.finology.in/company/INVENTURE,Inventure Growth & Securities Ltd.,Finance - Stock Broking,2.04,N/A,2.13,2,3.77,0.94,1,"0
                                %",2.16,46.41 Cr.,6.06 Cr.,26.4 %,0.06,65.45
https://ticker.finology.in/company/GICRE,General Insurance Corporation of India,Insurance,366.20,N/A,374,358.05,467,1.58,5,"2.75
                                %",231.31,24388.88 Cr.,0 Cr.,82.4 %,40.23,-25.21
https://ticker.finology.in/company/BLUEDART,Blue Dart Express Ltd.,Courier  Services,7280.00,N/A,7365.7,7123,9483.85,11.58,10,"0.34
                                %",628.88,165.79 Cr.,0 Cr.,75 %,113.75,1.85
https://ticker.finology.in/company/VARROC,Varroc Engineering Ltd.,Auto Ancillary,508.50,N/A,508.85,489.95,717,7.97,1,"0
                                %",63.83,59.97 Cr.,1246.95 Cr.,75 %,28.36,15.09
https://ticker.finology.in/company/IMFA,Indian Metals & Ferro Alloys Ltd.,Ferro & Silica Manganese,804.25,N/A,805.65,754.2,877,1.88,10,"3.73
                                %",428.02,96.76 Cr.,168.23 Cr.,58.69 %,81.69,3.88
https://ticker.finology.in/company/MOL,Meghmani Organics Ltd.,Chemicals,92.05,N/A,93.65,91.5,116,1.49,1,"0
                                %",61.64,17.51 Cr.,599.68 Cr.,49.33 %,-1,-39.77
https://ticker.finology.in/company/MASTEK,Mastek Ltd.,IT - Software,3195.00,N/A,3220,3129.35,3261,11.2,5,"0.59
                                %",285.37,8.68 Cr.,49.59 Cr.,36.23 %,42.79,18.92
https://ticker.finology.in/company/ZEEMEDIA,Zee Media Corporation Ltd.,TV Broadcasting & Software Production,18.47,N/A,19.89,18.4,26.29,2.76,1,"0
                                %",6.7,0.45 Cr.,134.93 Cr.,1.62 %,-1.53,-11.46
https://ticker.finology.in/company/APTUS,Aptus Value Housing Finance India Ltd.,Finance - Housing,317.50,N/A,319,312.8,401.7,4.5,2,"1.31
                                %",70.56,1087.83 Cr.,480.62 Cr.,53.91 %,9.78,17.13
https://ticker.finology.in/company/SETCO,Setco Automotive Ltd.,Auto Ancillary,10.56,N/A,11.24,10.48,16,1.86,2,"0
                                %",5.67,1.23 Cr.,69.4 Cr.,59.25 %,0.08,0.63
https://ticker.finology.in/company/IONEXCHANG,Ion Exchange (India) Ltd.,Engineering - Industrial Equipments,633.50,N/A,646.55,629.95,767,8.07,1,"0.24
                                %",78.55,534.97 Cr.,47.23 Cr.,25.92 %,14.83,15.2
https://ticker.finology.in/company/BDL,Bharat Dynamics Ltd.,Defence,926.70,N/A,967,925.3,1794.7,9.14,5,"0.56
                                %",101.36,4228.48 Cr.,4.34 Cr.,74.93 %,15.1,-4.83
https://ticker.finology.in/company/HPL,HPL Electric & Power Ltd.,Electric Equipment,482.25,N/A,491.9,479.25,694.3,3.62,10,"0.21
                                %",133.07,51.12 Cr.,581.14 Cr.,72.66 %,9.49,16.96
https://ticker.finology.in/company/FOODSIN,Foods & Inns Ltd.,Consumer Food,113.05,N/A,121,113,178.75,1.6,1,"0.27
                                %",70.56,37.9 Cr.,462.96 Cr.,25.47 %,3.82,1.65
https://ticker.finology.in/company/PNGJL,PN Gadgil Jewellers Ltd.,Retailing,644.45,N/A,668.65,642,843.8,0,10,"0
                                %",0,46.54 Cr.,262.31 Cr.,83.11 %,4.07,78.39
https://ticker.finology.in/company/ASHAPURMIN,Ashapura Minechem Ltd.,Mining & Minerals,250.30,N/A,252.25,243.05,483.25,8.98,2,"0
                                %",27.89,21.35 Cr.,44.71 Cr.,47.7 %,15.01,49.6
https://ticker.finology.in/company/FLAIR,Flair Writing Industries Ltd.,Printing & Stationery,258.90,N/A,264.2,258.9,514,2.88,5,"0
                                %",89.82,234.12 Cr.,35.66 Cr.,78.59 %,10.58,1.64
https://ticker.finology.in/company/ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,1919.40,N/A,1969.95,1904.05,2730,7.48,2,"0.52
                                %",256.56,31.38 Cr.,0.64 Cr.,71.96 %,32.89,-14.41
https://ticker.finology.in/company/GALAPREC,Gala Precision Engineering Ltd.,Engineering - Industrial Equipments,1061.45,N/A,1115.4,1028.45,1342.55,0,10,"0
                                %",0,11.71 Cr.,58.53 Cr.,55.44 %,13.58,13.99
https://ticker.finology.in/company/UPL,UPL Ltd.,Pesticides & Agrochemicals,555.50,N/A,565,538.65,625,5.44,2,"0.18
                                %",102.05,192 Cr.,1827 Cr.,32.52 %,1.79,-40.23
https://ticker.finology.in/company/FSL,Firstsource Solutions Ltd.,BPO/ITeS,339.00,N/A,350.05,334.85,390.8,9.5,10,"1.03
                                %",35.69,51.8 Cr.,7.43 Cr.,53.66 %,5.23,16.39
https://ticker.finology.in/company/UNITEDTEA,The United Nilgiri Tea Estates Company Ltd.,Tea/Coffee,426.45,N/A,443.75,417.2,524,0.99,10,"0.63
                                %",429.08,7.18 Cr.,0 Cr.,49.79 %,35.01,0.43
https://ticker.finology.in/company/SNOWMAN,Snowman Logistics Ltd.,Logistics,67.95,N/A,68.53,66.11,91.55,2.81,10,"1.47
                                %",24.15,9.46 Cr.,95.95 Cr.,47.61 %,0.53,20.53
https://ticker.finology.in/company/BOSCHLTD,Bosch Ltd.,Auto Ancillary,33980.05,N/A,34585.95,33950,39052,7.87,10,"1.1
                                %",4318.83,2592.7 Cr.,0 Cr.,70.54 %,706.59,12.04
https://ticker.finology.in/company/VINYLINDIA,Vinyl Chemicals (India) Ltd.,Trading,338.85,N/A,354.85,336,485.8,5.43,1,"1.99
                                %",62.4,6.19 Cr.,0.49 Cr.,50.41 %,13.37,-41.04
https://ticker.finology.in/company/KPEL,KP Energy Ltd.,Engineering - Construction,567.00,N/A,585,556,657,16.78,5,"0.1
                                %",33.79,23.3 Cr.,149.28 Cr.,45.01 %,11.24,7.73
https://ticker.finology.in/company/BOMDYEING,Bombay Dyeing And Manufacturing Company Ltd.,Textile,203.35,N/A,207,201,256.25,1.69,2,"0.59
                                %",120.09,478.2 Cr.,2.75 Cr.,53.57 %,170.85,-36.85
https://ticker.finology.in/company/WELSPUNLIV,Welspun Living Ltd.,Textile,147.70,N/A,149,145.5,213.1,3.81,1,"0.07
                                %",38.75,133.82 Cr.,1930.14 Cr.,66.24 %,5.86,28.38
https://ticker.finology.in/company/GODAVARIB,Godavari Biorefineries Ltd.,Sugar,293.40,N/A,297.55,290.25,372.05,1.6,10,"0
                                %",183.52,22.66 Cr.,654.06 Cr.,-,2.06,-16.24
https://ticker.finology.in/company/VAIBHAVGBL,Vaibhav Global Ltd.,Retailing,270.00,N/A,274.95,268,543.05,7.34,2,"2.23
                                %",36.8,56.49 Cr.,96.56 Cr.,57.3 %,5.27,12.1
https://ticker.finology.in/company/MAHLOG,Mahindra Logistics Ltd.,Logistics,391.10,N/A,399.5,386.8,554.05,4.19,10,"0.64
                                %",93.43,15.33 Cr.,82 Cr.,58.03 %,5.43,1.59
https://ticker.finology.in/company/LINDEINDIA,Linde India Ltd.,Industrial  Gases & Fuels,6381.00,N/A,6625,6353,9909,15.34,10,"0.19
                                %",416.06,979.83 Cr.,0 Cr.,75 %,51.29,-11.7
https://ticker.finology.in/company/LLOYDSENT,Lloyds Enterprises Ltd.,Trading,43.96,N/A,45.95,43.67,54.6,0.94,1,"0.23
                                %",46.54,25.11 Cr.,36.2 Cr.,73.91 %,0.53,367.9
https://ticker.finology.in/company/TVTODAY,TV Today Network Ltd.,TV Broadcasting & Software Production,185.40,N/A,190.95,183.6,308.15,1.26,5,"4.58
                                %",146.81,249.47 Cr.,0 Cr.,58.45 %,16.8,8.41
https://ticker.finology.in/company/SHALPAINTS,Shalimar Paints Ltd.,Paints,99.20,N/A,103,97,225.65,3.74,2,"0
                                %",26.55,56.13 Cr.,103.2 Cr.,75.73 %,-10.09,10.56
https://ticker.finology.in/company/MAXHEALTH,Max Healthcare Institute Ltd.,Hospital & Healthcare Services,988.60,N/A,1000,976.8,1117.05,12.1,10,"0.15
                                %",81.73,720.04 Cr.,340.69 Cr.,23.74 %,8.08,22.93
https://ticker.finology.in/company/WAAREEENER,Waaree Energies Ltd.,Electric Equipment,2721.05,N/A,2917.15,2691,3740.75,8.54,10,"0
                                %",318.62,3615.99 Cr.,276 Cr.,64.3 %,39.97,64.06
https://ticker.finology.in/company/ANDHRAPAP,Andhra Paper Ltd.,Paper & Paper Products,92.67,N/A,94.19,91.15,129.85,0.95,2,"2.18
                                %",97.67,26.26 Cr.,108.06 Cr.,72.45 %,9.57,-14.16
https://ticker.finology.in/company/BALKRISIND,Balkrishna Industries Ltd.,Tyres & Allied,2723.45,N/A,2799.85,2715.5,3377.95,5.6,2,"0.73
                                %",486.47,52.76 Cr.,3036.89 Cr.,58.29 %,83.64,-5.22
https://ticker.finology.in/company/SPCENET,Spacenet Enterprises India Ltd.,Trading,21.58,N/A,22.8,21.15,39.4,8.53,1,"0
                                %",2.53,1.91 Cr.,0 Cr.,15.67 %,0.08,254.83
https://ticker.finology.in/company/KDDL,KDDL Ltd.,Watches & Accessories,2663.05,N/A,2810,2663.05,3801.5,10.67,10,"2.26
                                %",249.68,141.97 Cr.,67.69 Cr.,50.43 %,174.5,15.03
https://ticker.finology.in/company/THEJO,Thejo Engineering Ltd.,Engineering,2041.85,N/A,2099.75,1975.15,3707.9,9.28,10,"0.15
                                %",220.01,35.94 Cr.,8.65 Cr.,53.63 %,38.57,17.7
https://ticker.finology.in/company/DEEDEV,Dee Development Engineers Ltd,Engineering - Industrial Equipments,273.65,N/A,280,271.25,400,2.34,10,"0
                                %",116.98,32.31 Cr.,360.69 Cr.,70.17 %,2.87,28.2
https://ticker.finology.in/company/KBCGLOBAL,KBC Global Ltd.,Construction - Real Estate,2.41,N/A,2.46,2.39,2.65,0.5,1,"0
                                %",4.81,3.77 Cr.,75.86 Cr.,1.27 %,-0.2,-80.95
https://ticker.finology.in/company/RIIL,Reliance Industrial Infrastructure Ltd.,Engineering - Construction,995.60,N/A,1013.45,993.55,1604,3.5,10,"0.35
                                %",284.25,1.05 Cr.,0 Cr.,45.43 %,6.91,-14.64
https://ticker.finology.in/company/SWANENERGY,Swan Energy Ltd.,Textile,527.85,N/A,547.85,526,782.55,3.62,1,"0.02
                                %",145.64,1068.04 Cr.,382.72 Cr.,53.96 %,0.16,-29.5
https://ticker.finology.in/company/PAGEIND,Page Industries Ltd.,Textile,44355.05,N/A,45206.95,44074.65,48412.95,33.2,10,"0.83
                                %",1335.92,321.05 Cr.,0 Cr.,44.29 %,556.79,-2.05
https://ticker.finology.in/company/UGARSUGAR,The Ugar Sugar Works Ltd.,Sugar,72.67,N/A,79.2,72.39,99.33,5.14,1,"0.34
                                %",14.13,40.62 Cr.,513.61 Cr.,44.35 %,-0.74,-35.84
https://ticker.finology.in/company/JSWENERGY,JSW Energy Ltd.,Power Generation/Distribution,698.40,N/A,709,683.05,804.95,5.72,10,"0.29
                                %",122.14,830.52 Cr.,7004.98 Cr.,69.32 %,6.48,-10.63
https://ticker.finology.in/company/EKC,Everest Kanto Cylinder Ltd.,Engineering - Industrial Equipments,202.60,N/A,207.35,197.8,217.35,3.15,2,"0.35
                                %",64.35,26.91 Cr.,1.57 Cr.,67.39 %,4.92,-2.3
https://ticker.finology.in/company/WOCKPHARMA,Wockhardt Ltd.,Pharmaceuticals & Drugs,1158.20,N/A,1202.95,1152,1334.55,6.81,5,"0
                                %",170.17,486 Cr.,1790 Cr.,51.99 %,-14.16,7.65
https://ticker.finology.in/company/EQUIPPP,Equippp Social Impact Technologies Ltd.,Trading,26.27,N/A,26.5,25,36.68,39.78,1,"0
                                %",0.66,0.74 Cr.,1.39 Cr.,89.1 %,0.03,0
https://ticker.finology.in/company/CLSEL,Chaman Lal Setia Exports Ltd.,Consumer Food,324.25,N/A,333.85,316.05,381.6,2.71,2,"0.69
                                %",119.78,67.25 Cr.,175.03 Cr.,74.05 %,22.37,-2.29
https://ticker.finology.in/company/BALRAMCHIN,Balrampur Chini Mills Ltd.,Sugar,507.00,N/A,529.5,507,692.85,3.05,1,"0.58
                                %",166.02,2.96 Cr.,2008.25 Cr.,42.9 %,15.79,19.89
https://ticker.finology.in/company/AFIL,Akme Fintrade (India) Ltd.,Finance - NBFC,82.66,N/A,83.63,81.42,134.7,0.99,10,"0
                                %",83.65,72.82 Cr.,18.53 Cr.,41.57 %,4.34,4.75
https://ticker.finology.in/company/SYNCOMF,Syncom Formulations (India) Ltd.,Pharmaceuticals & Drugs,19.72,N/A,20.24,19.61,27.94,5.95,1,"0
                                %",3.32,67.83 Cr.,71.65 Cr.,50.57 %,0.34,15.01
https://ticker.finology.in/company/LICI,Life Insurance Corporation of India,Insurance,882.25,N/A,898.5,872,1221.5,5.78,10,"1.14
                                %",152.77,34521.05 Cr.,0 Cr.,96.5 %,65.28,11.02
https://ticker.finology.in/company/INFIBEAM,Infibeam Avenues Ltd.,Fintech,25.93,N/A,26.77,25.88,42.5,2.24,1,"0.19
                                %",11.59,597.62 Cr.,0 Cr.,27.43 %,0.56,65.79
https://ticker.finology.in/company/PDMJEPAPER,Pudumjee Paper Products Ltd.,Paper & Paper Products,132.00,N/A,134.15,130.15,151,2.29,1,"0.45
                                %",57.52,7.38 Cr.,16.97 Cr.,71.31 %,13.33,3.46
https://ticker.finology.in/company/HFCL,HFCL Ltd.,Telecom-Infrastructure,127.35,N/A,128.7,125.8,171,4.52,1,"0.16
                                %",28.15,318.27 Cr.,819.07 Cr.,36.24 %,2.65,-7.3
https://ticker.finology.in/company/ADANIGREEN,Adani Green Energy Ltd.,Power Generation/Distribution,1146.40,N/A,1211.8,1133,2173.65,23.99,10,"0
                                %",47.8,6076 Cr.,23085 Cr.,60.94 %,-0.45,57.31
https://ticker.finology.in/company/CENTEXT,Century Extrusions Ltd.,Aluminium & Aluminium Products,21.53,N/A,21.7,20.55,32.39,2.21,1,"0
                                %",9.76,16.13 Cr.,48.07 Cr.,52.04 %,0.99,0.83
https://ticker.finology.in/company/FIRSTCRY,Brainbees Solutions Ltd.,e-Commerce,565.20,N/A,568.05,539.45,734.25,4.99,2,"0
                                %",113.31,227.23 Cr.,0 Cr.,0 %,-1.2,-14.9
https://ticker.finology.in/company/AHL,Abans Holdings Ltd.,Finance - NBFC,356.05,N/A,369.25,356,625,13.98,2,"0
                                %",25.47,14.57 Cr.,-6.72 Cr.,72.02 %,-1.51,612.21
