URL,Company Name,Sector,LTP,P/E Ratio,Market Cap (Cr),Enterprise Value (Cr),No. of Shares (Cr),P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth (%)
https://ticker.finology.in/company/MAZDA,Mazda Ltd.,Engineering - Industrial Equipments,1332.00,N/A,1350.7,1317.5,1650.2,2.45,10,"1.2
                                %",542.67,14.31 Cr.,0 Cr.,48.52 %,73.67,17.71
https://ticker.finology.in/company/ABAN,Aban Offshore Ltd.,Oil Exploration,61.03,N/A,63.6,60.67,93.5,0,2,"0
                                %",-170.28,1.8 Cr.,677.42 Cr.,46 %,1.93,18.69
https://ticker.finology.in/company/AKSHARCHEM,Aksharchem (India) Ltd.,Dyes & Pigments,292.00,N/A,304.55,288.1,376,0.9,10,"0.17
                                %",325.39,2.6 Cr.,51.82 Cr.,62.7 %,-4.36,-9.75
https://ticker.finology.in/company/GAEL,Gujarat Ambuja Exports Ltd.,Solvent  Extraction,119.40,N/A,120.8,117.6,210.38,1.89,1,"0.29
                                %",63.21,18.9 Cr.,194.93 Cr.,63.84 %,7.38,0.37
https://ticker.finology.in/company/MANAKCOAT,Manaksia Coated Metals & Industries Ltd.,Steel & Iron Products,63.68,N/A,64.67,61.9,74.75,3.08,1,"0.08
                                %",20.66,21.84 Cr.,178.09 Cr.,69.19 %,2,13.51
https://ticker.finology.in/company/RAMANEWS,Shree Rama Newsprint Ltd.,Paper & Paper Products,16.29,N/A,17.99,16.29,25.25,3.11,10,"0
                                %",5.23,0.17 Cr.,363.98 Cr.,74.76 %,-1.97,0.72
https://ticker.finology.in/company/REPL,Rudrabhishek Enterprises Ltd.,Engineering - Construction,183.66,N/A,192.5,180.1,238.95,2.58,10,"0
                                %",71.21,3.86 Cr.,8.68 Cr.,68.64 %,7.35,8.7
https://ticker.finology.in/company/PRITIKAUTO,Pritika Auto Industries Ltd.,Engineering,23.50,N/A,24.34,23.17,54.33,1.02,2,"0
                                %",22.95,3.36 Cr.,101.92 Cr.,59.86 %,1.05,8.86
https://ticker.finology.in/company/RANEENGINE,Rane Engine Valve Ltd.,Auto Ancillary,399.95,N/A,399.95,384.75,660,2.33,10,"1.25
                                %",171.93,2.48 Cr.,121.76 Cr.,58.32 %,22.61,13.9
https://ticker.finology.in/company/ASIANENE,Asian Energy Services Ltd.,Oil Exploration,326.55,N/A,333.05,323.3,444.35,4.46,10,"0
                                %",73.2,37.9 Cr.,21.24 Cr.,60.97 %,9.8,177.66
